wid_col1,wid_col2,wid_col3,wid_col4
2,2,3.0,2.0
3,4,4.0,7.0
4,7,7.0,8.0
7,8,10.0,9.0
8,9,11.0,10.0
9,10,13.0,11.0
10,11,14.0,13.0
11,13,15.0,14.0
13,14,16.0,15.0
14,15,17.0,16.0
15,16,18.0,17.0
16,17,20.0,18.0
17,18,21.0,19.0
18,19,22.0,20.0
19,20,24.0,21.0
20,22,25.0,22.0
21,24,26.0,24.0
22,25,27.0,25.0
24,26,28.0,26.0
25,27,29.0,27.0
26,28,30.0,28.0
27,29,31.0,29.0
28,30,34.0,30.0
29,31,35.0,31.0
30,32,36.0,34.0
31,33,37.0,35.0
33,34,38.0,36.0
34,35,41.0,37.0
35,36,42.0,38.0
36,37,44.0,41.0
37,38,45.0,42.0
38,41,49.0,44.0
41,44,51.0,45.0
42,45,52.0,48.0
44,47,53.0,49.0
45,48,56.0,51.0
47,49,57.0,52.0
48,51,59.0,53.0
49,52,61.0,56.0
51,53,62.0,57.0
52,57,63.0,59.0
53,58,64.0,61.0
56,59,65.0,62.0
57,61,66.0,63.0
59,62,69.0,64.0
61,63,70.0,65.0
62,64,73.0,66.0
63,65,76.0,69.0
64,66,78.0,70.0
65,67,80.0,73.0
66,69,84.0,74.0
69,70,85.0,75.0
70,72,91.0,76.0
73,73,95.0,78.0
74,74,99.0,79.0
75,75,0.0,80.0
76,76,0.0,81.0
78,78,0.0,83.0
79,79,0.0,84.0
80,80,0.0,85.0
81,81,0.0,89.0
83,83,0.0,91.0
84,84,0.0,92.0
85,85,0.0,93.0
88,88,0.0,95.0
89,89,0.0,98.0
91,91,0.0,99.0
92,92,0.0,0.0
93,93,0.0,0.0
95,94,0.0,0.0
98,98,0.0,0.0
99,99,0.0,0.0
