="",="(1)",="(2)",="(3)"
="",="Log effort",="Log effort",="Log effort"
="gamma",="",="",=""
="Constant",="20.5925186",="18.8709514",="19.6383319"
="",="(4.21524345)",="(3.92461034)",="(14.1894041)"
="k",="",="",=""
="Constant",="3.76593e-13",="3.91881e-07",="1.01553e-09"
="",="(1.44511e-11)",="(1.16367e-05)",="(1.11652e-07)"
="s",="",="",=""
="Constant",="2.65791719",="6.21782539",="3.74870104"
="",="(5.45302774)",="(12.2406257)",="(34.6078844)"
="p_weight",="",="",=""
="Constant",="0.19450734",="0.37714414",="0.29519398"
="",="(0.14773032)",="(0.26249638)",="(1.31064452)"
="curv",="",="",=""
="Constant",="",="",="0.92352921"
="",="",="",="(0.79143467)"
="Observations",="2787",="2787",="2787"
="R-squared",="0.9938",="0.9938",="0.9938"
="Adjusted R-squared",="0.9938",="0.9938",="0.9938"
="Sample",="Bench_Prob",="Bench_Prob",="Bench_Prob"
="Cost function",="POWER",="POWER",="POWER"
="Specification",="Curv_fix1",="Curv_fix088",="Curv_estim"
="Coef. k scaled up by",="1.00000e+57",="1.00000e+57",="1.00000e+57"
="Coef. s scaled up by",="1000000",="1000000",="1000000"
="RSS",="963.126618",="961.473873",="961.473051"
="Root MSE",="0.58817570",="0.58777639",="0.58777614"
="Residual mean square",="0.34595065",="0.34548109",="0.34548079"
="Residual deviance",="4947.87516",="4943.08850",="4943.08612"
="\# iterations",="123",="38",="47"
="Predicted effort 1.1",="7.53914881",="7.52200890",="7.52113056"
="Predicted effort 1.2",="7.65095377",="7.62936783",="7.62940216"
="Predicted effort 1.3",="7.13933992",="7.10147381",="7.10147381"
="Predicted effort 1.4",="7.60645914",="7.58664179",="7.58631372"
="Predicted effort 2",="7.42744780",="7.41475821",="7.41294622"
="Predicted effort 3.1",="7.57280207",="7.52945328",="7.53848982"
="Predicted effort 3.2",="7.65558195",="7.61977673",="7.62528896"
="Predicted effort 4.1",="7.53914881",="7.52200890",="7.52113056"
="Predicted effort 4.2",="7.53914881",="7.52200890",="7.52113056"
="Predicted effort 6.1",="7.45969343",="7.44111967",="7.44111967"
="Predicted effort 6.2",="7.53914881",="7.51760292",="7.51843214"
="Sample average effort:  ''1.1'': 2026,  ''1.2'': 2173,  ''1.3'': 1521,  ''1.4'': 2129,  ''2'': 1883,  ''3.1'': 1904,  ''3.2'': 1916,  ''4.1'': 2004,  ''4.2'': 1968,  ''6.1'': 1895,  ''6.2'': 1977, "
="Sample average log effort:  ''1.1'': 7.521,  ''1.2'': 7.629,  ''1.3'': 7.101,  ''1.4'': 7.602,  ''2'': 7.424,  ''3.1'': 7.46,  ''3.2'': 7.477,  ''4.1'': 7.516,  ''4.2'': 7.489,  ''6.1'': 7.441,  ''6.2'': 7.518, "
